Game Reference,Date,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
202012230BOS,12/23/2020,BOS,game,TRUE,Jayson Tatum,tatumja01,32.49,12,28,0.429,6,13,0.462,0,0,,0,7,7,2,2,1,2,2,30,-6,
202012250BOS,12/25/2020,BOS,game,TRUE,Jayson Tatum,tatumja01,36.07,9,22,0.409,2,6,0.333,0,0,,1,7,8,2,1,1,3,1,20,-21,
202012270IND,12/27/2020,BOS,game,TRUE,Jayson Tatum,tatumja01,35.47,9,21,0.429,3,9,0.333,4,4,1,0,11,11,5,0,1,5,1,25,-6,
202012290IND,12/29/2020,BOS,game,TRUE,Jayson Tatum,tatumja01,40.27,9,17,0.529,1,3,0.333,8,10,0.8,0,11,11,4,3,0,4,1,27,19,
202012300BOS,12/30/2020,BOS,game,TRUE,Jayson Tatum,tatumja01,23.14,6,12,0.5,3,5,0.6,1,1,1,0,4,4,3,1,0,0,0,16,29,
202101010DET,1/1/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,37.04,11,24,0.458,3,11,0.273,3,5,0.6,0,6,6,2,1,1,3,1,28,4,
202101030DET,1/3/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,36.40,10,22,0.455,4,8,0.5,0,0,,2,6,8,12,0,2,0,1,24,2,
202101040TOR,1/4/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,31.41,11,19,0.579,5,8,0.625,13,13,1,0,6,6,2,0,2,1,5,40,24,
202101060MIA,1/6/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,37.32,10,21,0.476,5,8,0.625,2,2,1,0,5,5,4,1,0,2,4,27,7,
202101080BOS,1/8/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,35.06,14,27,0.519,3,9,0.333,1,1,1,1,4,5,2,1,0,4,2,32,-6,
202101250CHI,1/25/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,31.18,10,21,0.476,3,6,0.5,1,2,0.5,0,4,4,5,0,1,2,2,24,15,
202101270SAS,1/27/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,34.05,11,25,0.44,0,3,0,3,4,0.75,3,4,7,2,4,0,3,1,25,11,
202101300BOS,1/30/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,39.47,12,18,0.667,2,3,0.667,4,6,0.667,0,9,9,3,2,0,4,1,30,0,
202102020GSW,2/2/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,38.25,9,19,0.474,4,10,0.4,5,6,0.833,0,9,9,3,0,0,4,2,27,13,
202102030SAC,2/3/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,38.54,11,26,0.423,2,10,0.2,3,3,1,1,8,9,10,2,0,4,2,27,6,
202102050LAC,2/5/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,40.22,12,27,0.444,5,10,0.5,5,6,0.833,1,6,7,2,4,0,2,2,34,8,
202102070PHO,2/6/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,35.04,8,22,0.364,3,7,0.429,4,4,1,0,4,4,7,1,0,0,0,23,-12,
202102090UTA,2/8/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,37.54,7,20,0.35,1,4,0.25,8,8,1,1,3,4,4,0,0,0,1,23,-21,
202102110BOS,2/11/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,36.01,5,13,0.385,1,3,0.333,6,6,1,0,6,6,9,2,0,2,3,17,23,
202102120BOS,2/12/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,40.35,9,22,0.409,3,7,0.429,12,13,0.923,0,11,11,7,0,0,2,3,33,9,
202102140WAS,2/14/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,23.21,3,14,0.214,0,2,0,0,1,0,2,6,8,4,1,0,2,4,6,-20,
202102160BOS,2/16/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,32.45,6,18,0.333,1,8,0.125,8,8,1,1,5,6,8,1,0,4,3,21,8,
202102170BOS,2/17/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,34.53,11,21,0.524,3,9,0.333,10,11,0.909,0,6,6,6,2,0,3,1,35,-5,
202102190BOS,2/19/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,37.18,10,21,0.476,3,8,0.375,2,2,1,1,7,8,6,1,3,6,2,25,-1,
202102210NOP,2/21/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,41.00,10,24,0.417,3,7,0.429,9,13,0.692,1,8,9,2,2,0,1,4,32,3,
202102230DAL,2/23/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,35.36,10,23,0.435,3,10,0.3,5,6,0.833,0,6,6,4,1,2,4,2,28,-6,
202102240ATL,2/24/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,31.49,4,20,0.2,1,8,0.125,4,4,1,1,0,1,1,2,0,1,1,13,-15,
202102260BOS,2/26/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,38.29,4,18,0.222,1,4,0.25,0,0,,1,8,9,4,0,1,1,0,9,-7,
202102280BOS,2/28/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,38.41,12,22,0.545,3,10,0.3,4,4,1,0,8,8,3,3,0,4,4,31,13,
202103020BOS,3/2/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,39.42,5,16,0.313,1,5,0.2,3,3,1,0,5,5,5,2,0,3,1,14,-3,
202103040BOS,3/4/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,37.20,9,15,0.6,3,6,0.5,6,10,0.6,1,11,12,5,2,0,3,3,27,20,
202103110BRK,3/11/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,35.31,13,22,0.591,3,7,0.429,2,2,1,0,5,5,3,1,0,2,1,31,1,
202103140HOU,3/14/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,28.22,9,17,0.529,3,5,0.6,2,2,1,1,5,6,6,1,0,2,3,23,17,
202103160BOS,3/16/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,36.55,12,24,0.5,4,7,0.571,1,2,0.5,3,3,6,3,3,0,3,3,29,13,
202103170CLE,3/17/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,37.08,11,24,0.458,3,13,0.231,4,5,0.8,0,5,5,3,2,1,1,3,29,-8,
202103190BOS,3/19/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,36.27,6,16,0.375,2,5,0.4,1,2,0.5,3,4,7,3,0,0,4,2,15,-11,
202103210BOS,3/21/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,28.41,7,13,0.538,5,8,0.625,4,4,1,1,3,4,4,0,0,2,0,23,7,
202103240MIL,3/24/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,37.52,7,19,0.368,1,6,0.167,3,3,1,1,7,8,5,1,2,2,1,18,5,
202103260MIL,3/26/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,32.38,13,18,0.722,4,7,0.571,4,4,1,0,6,6,7,1,1,2,3,34,9,
202103270OKC,3/26/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,38.03,11,27,0.407,4,12,0.333,1,1,1,0,5,5,3,1,0,1,1,27,8,
202103290BOS,3/29/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,40.07,12,25,0.48,5,9,0.556,5,6,0.833,3,6,9,5,2,0,1,2,34,-1,
202103310BOS,3/31/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,38.04,10,24,0.417,1,8,0.125,4,4,1,2,7,9,3,3,0,3,2,25,-19,
202104020BOS,4/2/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,31.42,9,17,0.529,5,11,0.455,3,3,1,0,9,9,0,0,1,4,1,26,19,
202104040BOS,4/4/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,27.58,8,15,0.533,3,9,0.333,3,4,0.75,0,8,8,4,0,0,0,2,22,16,
202104060BOS,4/6/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,35.08,7,17,0.412,3,10,0.3,3,3,1,0,4,4,4,1,0,3,1,20,-12,
202104070BOS,4/7/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,41.38,10,21,0.476,3,9,0.333,2,2,1,0,10,10,5,1,0,8,0,25,6,
202104090BOS,4/9/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,41.00,16,25,0.64,6,10,0.6,15,16,0.938,1,9,10,4,0,1,5,3,53,5,
202104110DEN,4/11/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,33.25,9,23,0.391,2,7,0.286,8,8,1,1,9,10,2,1,0,2,2,28,3,
202104130POR,4/13/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,38.02,10,17,0.588,4,7,0.571,8,10,0.8,1,8,9,5,1,1,3,2,32,-1,
202104150LAL,4/15/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,27.47,6,14,0.429,2,5,0.4,0,0,,0,5,5,5,0,0,0,0,14,14,
202104170BOS,4/17/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,39.50,16,25,0.64,5,9,0.556,7,8,0.875,0,10,10,3,2,0,2,2,44,12,
202104190BOS,4/19/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,37.00,3,17,0.176,1,4,0.25,7,8,0.875,0,13,13,10,0,0,4,1,14,-3,
202104220BOS,4/22/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,33.58,3,17,0.176,1,8,0.125,8,8,1,0,11,11,6,1,0,5,0,15,13,
202104230BRK,4/23/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,39.23,14,27,0.519,6,12,0.5,4,7,0.571,2,8,10,4,0,0,5,3,38,1,
202104250CHO,4/25/2021,BOS,game,TRUE,Jayson Tatum,tatumja01,32.15,6,16,0.375,1,5,0.2,6,7,0.857,4,7,11,2,1,0,5,3,19,-28,
