"Game Reference,Date,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS"
"202104030POR,4/3/2021,Moses Brown,brownmo01,23.04,7,0.571,0,0,,2,4,0.5,6,8,14,0,0,0,1,5,10,18"
"202105240MIL,5/24/2021,Jimmy Butler,butleji01,31.5,10,0.4,0,0,,2,4,0.5,2,0,2,4,2,0,1,1,10,24"
"202102010MIL,2/1/2021,Enes Freedom,kanteen01,25,12,0.417,0,0,,0,0,,4,7,11,0,0,0,4,1,10,24"
"202102030CLE,2/3/2021,Andre Drummond,drumman01,22.15,13,0.308,0,0,,5,7,0.714,2,3,5,2,0,0,3,3,13,33"
"202103120NOP,3/12/2021,Jarrett Allen,allenja01,32.5,6,0.333,0,0,,1,2,0.5,1,6,7,2,1,3,1,2,5,14"
"202303210BRK,3/21/2023,Nic Claxton,claxtni01,28.12,10,0.6,0,0,,1,1,1,1,7,8,3,1,1,2,3,13,21"
"202012290MIA,12/29/2020,Bam Adebayo,adebaba01,25.01,7,0.714,0,0,,2,2,1,0,6,6,4,1,1,5,2,12,16"
"202211250MEM,11/25/2022,Zion Williamson,willizi01,30,12,0.5,0,0,,2,2,1,1,4,5,4,1,0,1,3,14,26"
"202302050NOP,2/5/2023,Domantas Sabonis,sabondo01,27.28,10,0.5,1,1,1,1,1,1,2,9,11,3,0,0,2,2,12,22"
"202302280OKC,2/28/2023,Josh Giddey,giddejo01,19.27,10,0.4,0,0,,0,2,0,3,3,6,5,0,1,1,3,8,22"
"202104280SAC,4/28/2021,Richaun Holmes,holmeri01,22.5,15,0.6,0,0,,0,0,,1,1,2,0,0,0,1,3,18,30"
"202211040MEM,11/4/2022,Mason Plumlee,plumlma01,21.44,5,0.6,0,0,,1,2,0.5,2,5,7,3,1,0,1,1,7,12"
"202301110DEN,1/11/2023,Bismack Biyombo,biyombi01,15.57,6,0.333,0,0,,0,0,,2,1,3,1,0,0,1,2,4,12"
"202304090CHI,4/9/2023,James Wiseman,wisemja01,24.5,9,0.444,0,0,,3,4,0.75,6,6,12,0,0,1,4,2,11,22"
"202103240SAS,3/24/2021,DeMar DeRozan,derozde01,28.07,18,0.389,0,0,,5,5,1,0,3,3,3,1,0,4,2,19,41"
"202210220DAL,10/22/2022,Steven Adams,adamsst01,22.19,3,0.333,0,0,,0,2,0,1,3,4,1,1,4,3,1,2,8"
"202211150SAC,11/15/2022,Nic Claxton,claxtni01,17.54,5,0.6,0,0,,0,0,,0,1,1,1,0,0,1,3,6,10"
